data_id,data_name,qualified_data_name
1,local_authority_source,[local_authority_source]
2,original_dataset,[original_dataset]
3,data_with_cleaned_names,[data_with_cleaned_names]
4,name_cleaning_log,[name_cleaning_log]
5,record_id_data,[record_id_data]
6,existing_RunID_structure,clean_name_workflow[existing_RunID_structure]
7,newly_created_RunID_directory,clean_name_workflow[newly_created_RunID_directory]
8,source_file_to_be_copied,clean_name_workflow[source_file_to_be_copied]
9,local_authority_source,clean_name_workflow[local_authority_source]
10,original_dataset,clean_name_workflow[original_dataset]
11,data_with_cleaned_names,clean_name_workflow[data_with_cleaned_names]
12,name_cleaning_log,clean_name_workflow[name_cleaning_log]
13,record_id_data,clean_name_workflow[record_id_data]
14,name_cleaning_log,clean_name_workflow.clean_scientific_name[name_cleaning_log]
15,local_authority_source,clean_name_workflow.clean_scientific_name[local_authority_source]
16,local_authority_source_scientificName_list,clean_name_workflow.clean_scientific_name[local_authority_source_scientificName_list]
17,original_dataset,clean_name_workflow.clean_scientific_name[original_dataset]
18,scientificName,clean_name_workflow.clean_scientific_name[scientificName]
19,authorship,clean_name_workflow.clean_scientific_name[authorship]
20,RecordID,clean_name_workflow.clean_scientific_name[RecordID]
21,other_fields,clean_name_workflow.clean_scientific_name[other_fields]
22,record_id_data,clean_name_workflow.clean_scientific_name[record_id_data]
23,empty_scientificName,clean_name_workflow.clean_scientific_name[empty_scientificName]
24,nonEmpty_scientificName,clean_name_workflow.clean_scientific_name[nonEmpty_scientificName]
25,record_final_status,clean_name_workflow.clean_scientific_name[record_final_status]
26,unable-to-validate_record_count,clean_name_workflow.clean_scientific_name[unable-to-validate_record_count]
27,matching_record,clean_name_workflow.clean_scientific_name[matching_record]
28,match_result,clean_name_workflow.clean_scientific_name[match_result]
29,matching_method,clean_name_workflow.clean_scientific_name[matching_method]
30,updated_scientificName,clean_name_workflow.clean_scientific_name[updated_scientificName]
31,updated_authorship,clean_name_workflow.clean_scientific_name[updated_authorship]
32,accepted_record_count,clean_name_workflow.clean_scientific_name[accepted_record_count]
33,data_with_cleaned_names,clean_name_workflow.clean_scientific_name[data_with_cleaned_names]
