log_variable_id,variable_name,log_template_id
1,timestamp,1
2,input1_data_file_name,1
3,timestamp,2
4,RecordID,2
5,timestamp,3
6,field_name,3
7,check_result,3
8,timestamp,4
9,final_result,4
10,RecordID,4
11,timestamp,5
12,check_type,5
13,source_used,5
14,match_method,5
15,field_name,5
16,field_name_value,5
17,timestamp,6
18,match_method,6
19,match_result,6
20,source_used,6
21,compliant_result,6
22,timestamp,7
23,final_result,7
24,RecordID,7
25,timestamp,8
26,Record,8
27,field_name,8
28,original_value,8
29,updated_value,8
30,timestamp,9
31,final_result,9
32,RecordID,9
33,timestamp,10
34,accepted_record_count,10
35,output1_data_file_name,10
36,timestamp,11
37,rejected_record_count,11
38,output1_data_file_name,11
