port_id,alias
2,original_dataset
3,data_with_cleaned_names
4,name_cleaning_log
6,existing_RunID_structure
7,newly_created_RunID_directory
8,source_file_to_be_copied
9,newly_created_RunID_directory
11,original_dataset
13,newly_created_RunID_directory
14,original_dataset
15,data_with_cleaned_names
16,name_cleaning_log
18,name_cleaning_log
20,local_authority_source_scientificName_list
21,original_dataset
22,scientificName
23,authorship
25,other_fields
27,name_cleaning_log
28,scientificName
29,empty_scientificName
30,nonEmpty_scientificName
31,name_cleaning_log
33,empty_scientificName
34,record_final_status
35,unable-to-validate_record_count
36,name_cleaning_log
37,nonEmpty_scientificName
38,local_authority_source_scientificName_list
39,matching_record
41,record_final_status
43,name_cleaning_log
45,record_final_status
47,unable-to-validate_record_count
48,name_cleaning_log
51,matching_record
53,authorship
55,matching_record
59,authorship
60,name_cleaning_log
62,record_final_status
64,name_cleaning_log
65,other_fields
66,scientificName
67,authorship
70,data_with_cleaned_names
72,unable-to-validate_record_count
73,name_cleaning_log
