resource_id,log_entry_id,log_variable_id,log_variable_value
1,1,1,"2016-11-04-14:37:58 "
1,1,2,'../Run_3/demo_output_name_val.csv'
1,2,3,"2016-11-04-14:37:58 "
1,2,4,'18390631'
1,3,3,"2016-11-04-14:37:58 "
1,3,4,'10273799'
1,4,3,"2016-11-04-14:37:58 "
1,4,4,'15700061'
1,5,3,"2016-11-04-14:37:58 "
1,5,4,'81847239'
1,6,3,"2016-11-04-14:37:58 "
1,6,4,'16481007'
1,7,3,"2016-11-04-14:37:58 "
1,7,4,'22717845'
1,8,3,"2016-11-04-14:37:58 "
1,8,4,'45250744'
1,9,3,"2016-11-04-14:37:58 "
1,9,4,'19073976'
1,10,3,"2016-11-04-14:37:58 "
1,10,4,'93383834'
1,11,5,"2016-11-04-14:37:58 "
1,11,6,eventDate
1,11,7,'NO'
1,12,5,"2016-11-04-14:37:58 "
1,12,6,eventDate
1,12,7,'NO'
1,13,5,"2016-11-04-14:37:58 "
1,13,6,eventDate
1,13,7,'NO'
1,14,5,"2016-11-04-14:37:58 "
1,14,6,eventDate
1,14,7,'NO'
1,15,5,"2016-11-04-14:37:58 "
1,15,6,eventDate
1,15,7,'NO'
1,16,5,"2016-11-04-14:37:58 "
1,16,6,eventDate
1,16,7,'YES'
1,17,5,"2016-11-04-14:37:58 "
1,17,6,eventDate
1,17,7,'YES'
1,18,5,"2016-11-04-14:37:58 "
1,18,6,eventDate
1,18,7,'YES'
1,19,5,"2016-11-04-14:37:58 "
1,19,6,eventDate
1,19,7,'YES'
1,20,8,2016-11-04-14:37:58
1,20,9," ACCEPTED"
1,20,10,'18390631'
1,21,8,2016-11-04-14:37:58
1,21,9," ACCEPTED"
1,21,10,'10273799'
1,22,8,2016-11-04-14:37:58
1,22,9," ACCEPTED"
1,22,10,'15700061'
1,23,8,2016-11-04-14:37:58
1,23,9," ACCEPTED"
1,23,10,'81847239'
1,24,8,2016-11-04-14:37:58
1,24,9," ACCEPTED"
1,24,10,'16481007'
1,25,8,2016-11-04-14:37:58
1,25,9," UNABLE-to-validate"
1,25,10,'22717845'
1,26,8,2016-11-04-14:37:58
1,26,9," UNABLE-to-validate"
1,26,10,'45250744'
1,27,8,2016-11-04-14:37:58
1,27,9," UNABLE-to-validate"
1,27,10,'19073976'
1,28,8,2016-11-04-14:37:58
1,28,9," UNABLE-to-validate"
1,28,10,'93383834'
1,29,11,"2016-11-04-14:37:58 "
1,29,12,self_check
1,29,13,ISO_date_format-(YYYY-MM-DD)
1,29,14,EXACT
1,29,15,eventDate
1,29,16,'5/27/50'
1,30,11,"2016-11-04-14:37:58 "
1,30,12,self_check
1,30,13,ISO_date_format-(YYYY-MM-DD)
1,30,14,EXACT
1,30,15,eventDate
1,30,16,'1880-01-01/1880-12-31'
1,31,11,"2016-11-04-14:37:58 "
1,31,12,self_check
1,31,13,ISO_date_format-(YYYY-MM-DD)
1,31,14,EXACT
1,31,15,eventDate
1,31,16,'1963-09-01/1963-09-30'
1,32,11,"2016-11-04-14:37:58 "
1,32,12,self_check
1,32,13,ISO_date_format-(YYYY-MM-DD)
1,32,14,EXACT
1,32,15,eventDate
1,32,16,'1880-01-01/1880-12-31'
1,33,11,"2016-11-04-14:37:58 "
1,33,12,self_check
1,33,13,ISO_date_format-(YYYY-MM-DD)
1,33,14,EXACT
1,33,15,eventDate
1,33,16,'1904-06-01/1904-06-30'
1,34,21,"2016-11-04-14:37:58 "
1,34,22,'18390631'
1,34,23,eventDate
1,34,24,'5/27/50'
1,34,25,'1950-05-27'
1,35,26,2016-11-04-14:37:58
1,35,27," ACCEPTED"
1,35,28,'18390631'
1,36,26,2016-11-04-14:37:58
1,36,27," ACCEPTED"
1,36,28,'10273799'
1,37,26,2016-11-04-14:37:58
1,37,27," ACCEPTED"
1,37,28,'15700061'
1,38,26,2016-11-04-14:37:58
1,38,27," ACCEPTED"
1,38,28,'81847239'
1,39,26,2016-11-04-14:37:58
1,39,27," ACCEPTED"
1,39,28,'16481007'
1,40,26,2016-11-04-14:37:58
1,40,27," UNABLE-to-validate"
1,40,28,'22717845'
1,41,26,2016-11-04-14:37:58
1,41,27," UNABLE-to-validate"
1,41,28,'45250744'
1,42,26,2016-11-04-14:37:58
1,42,27," UNABLE-to-validate"
1,42,28,'19073976'
1,43,26,2016-11-04-14:37:58
1,43,27," UNABLE-to-validate"
1,43,28,'93383834'
1,44,29,"2016-11-04-14:37:58 "
1,44,30,5
1,44,31,../Run_6/demo_output_name_date_val.csv
1,45,32,"2016-11-04-14:37:58 "
1,45,33,4
1,45,34,../Run_6/demo_output_name_date_val.csv
